iShares Russell 2000 ETF
Fund Holdings as of,"Apr 10, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"280,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"JBTM","JBT MAREL CORP","Industrials","Equity","158,440,960.20","0.22","158,440,960.20","1,232,524.00","128.55","United States","NYSE","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT CORP","Real Estate","Equity","158,083,530.66","0.22","158,083,530.66","2,419,399.00","65.34","United States","NYSE","USD","1.00","USD","-"
"CWAN","CLEARWATER ANALYTICS HOLDINGS INC","Information Technology","Equity","158,039,712.00","0.22","158,039,712.00","6,584,988.00","24.00","United States","NYSE","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS INC","Consumer Discretionary","Equity","156,634,223.76","0.21","156,634,223.76","547,902.00","285.88","United States","NYSE","USD","1.00","USD","-"
"POWL","POWELL INDUSTRIES INC","Industrials","Equity","156,395,570.22","0.21","156,395,570.22","677,213.00","230.94","United States","NASDAQ","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","Health Care","Equity","155,207,523.56","0.21","155,207,523.56","1,990,861.00","77.96","United States","NASDAQ","USD","1.00","USD","-"
"GKOS","GLAUKOS CORP","Health Care","Equity","153,589,567.20","0.21","153,589,567.20","1,319,498.00","116.40","United States","NYSE","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","153,219,394.20","0.21","153,219,394.20","2,318,520.00","66.08","United States","NASDAQ","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","152,544,070.76","0.21","152,544,070.76","4,687,894.00","32.54","United States","NYSE","USD","1.00","USD","-"
"UEC","URANIUM ENERGY CORP","Energy","Equity","152,515,274.34","0.21","152,515,274.34","11,272,378.00","13.53","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","151,613,161.00","0.21","151,613,161.00","585,379.00","259.00","United States","NASDAQ","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","150,770,856.56","0.21","150,770,856.56","11,544,476.00","13.06","United States","NASDAQ","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","150,608,511.24","0.21","150,608,511.24","1,616,318.00","93.18","United States","NYSE","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","147,807,597.21","0.20","147,807,597.21","1,463,007.00","101.03","United States","NYSE","USD","1.00","USD","-"
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","147,613,631.10","0.20","147,613,631.10","5,621,235.00","26.26","United States","NASDAQ","USD","1.00","USD","-"
"AROC","ARCHROCK INC","Energy","Equity","146,417,088.10","0.20","146,417,088.10","4,072,798.00","35.95","United States","NYSE","USD","1.00","USD","-"
"NE","NOBLE CORPORATION PLC","Energy","Equity","145,966,361.31","0.20","145,966,361.31","2,983,167.00","48.93","United States","NYSE","USD","1.00","USD","-"
